C-BERJ-0;C-LEBTOT-0;F-GEBG
BERJ-1970;LEBEND_TOT-1;112301
BERJ-1970;LEBEND_TOT-2;1141
BERJ-1971;LEBEND_TOT-1;108510
BERJ-1971;LEBEND_TOT-2;1056
BERJ-1972;LEBEND_TOT-1;104033
BERJ-1972;LEBEND_TOT-2;1005
BERJ-1973;LEBEND_TOT-1;98041
BERJ-1973;LEBEND_TOT-2;877
BERJ-1974;LEBEND_TOT-1;97430
BERJ-1974;LEBEND_TOT-2;828
BERJ-1975;LEBEND_TOT-1;93757
BERJ-1975;LEBEND_TOT-2;791
BERJ-1976;LEBEND_TOT-1;87446
BERJ-1976;LEBEND_TOT-2;683
BERJ-1977;LEBEND_TOT-1;85595
BERJ-1977;LEBEND_TOT-2;673
BERJ-1978;LEBEND_TOT-1;85402
BERJ-1978;LEBEND_TOT-2;562
BERJ-1979;LEBEND_TOT-1;86388
BERJ-1979;LEBEND_TOT-2;561
BERJ-1980;LEBEND_TOT-1;90872
BERJ-1980;LEBEND_TOT-2;602
BERJ-1981;LEBEND_TOT-1;93942
BERJ-1981;LEBEND_TOT-2;511
BERJ-1982;LEBEND_TOT-1;94840
BERJ-1982;LEBEND_TOT-2;469
BERJ-1983;LEBEND_TOT-1;90118
BERJ-1983;LEBEND_TOT-2;481
BERJ-1984;LEBEND_TOT-1;89234
BERJ-1984;LEBEND_TOT-2;409
BERJ-1985;LEBEND_TOT-1;87440
BERJ-1985;LEBEND_TOT-2;407
BERJ-1986;LEBEND_TOT-1;86964
BERJ-1986;LEBEND_TOT-2;385
BERJ-1987;LEBEND_TOT-1;86503
BERJ-1987;LEBEND_TOT-2;289
BERJ-1988;LEBEND_TOT-1;88052
BERJ-1988;LEBEND_TOT-2;325
BERJ-1989;LEBEND_TOT-1;88759
BERJ-1989;LEBEND_TOT-2;347
BERJ-1990;LEBEND_TOT-1;90454
BERJ-1990;LEBEND_TOT-2;325
BERJ-1991;LEBEND_TOT-1;94629
BERJ-1991;LEBEND_TOT-2;321
BERJ-1992;LEBEND_TOT-1;95302
BERJ-1992;LEBEND_TOT-2;339
BERJ-1993;LEBEND_TOT-1;95227
BERJ-1993;LEBEND_TOT-2;317
BERJ-1994;LEBEND_TOT-1;92415
BERJ-1994;LEBEND_TOT-2;307
BERJ-1995;LEBEND_TOT-1;88669
BERJ-1995;LEBEND_TOT-2;389
BERJ-1996;LEBEND_TOT-1;88809
BERJ-1996;LEBEND_TOT-2;399
BERJ-1997;LEBEND_TOT-1;84045
BERJ-1997;LEBEND_TOT-2;363
BERJ-1998;LEBEND_TOT-1;81233
BERJ-1998;LEBEND_TOT-2;334
BERJ-1999;LEBEND_TOT-1;78138
BERJ-1999;LEBEND_TOT-2;316
BERJ-2000;LEBEND_TOT-1;78268
BERJ-2000;LEBEND_TOT-2;331
BERJ-2001;LEBEND_TOT-1;75458
BERJ-2001;LEBEND_TOT-2;278
BERJ-2002;LEBEND_TOT-1;78399
BERJ-2002;LEBEND_TOT-2;338
BERJ-2003;LEBEND_TOT-1;76944
BERJ-2003;LEBEND_TOT-2;307
BERJ-2004;LEBEND_TOT-1;78968
BERJ-2004;LEBEND_TOT-2;313
BERJ-2005;LEBEND_TOT-1;78190
BERJ-2005;LEBEND_TOT-2;289
BERJ-2006;LEBEND_TOT-1;77914
BERJ-2006;LEBEND_TOT-2;313
BERJ-2007;LEBEND_TOT-1;76250
BERJ-2007;LEBEND_TOT-2;291
BERJ-2008;LEBEND_TOT-1;77752
BERJ-2008;LEBEND_TOT-2;258
BERJ-2009;LEBEND_TOT-1;76344
BERJ-2009;LEBEND_TOT-2;284
BERJ-2010;LEBEND_TOT-1;78742
BERJ-2010;LEBEND_TOT-2;296
BERJ-2011;LEBEND_TOT-1;78109
BERJ-2011;LEBEND_TOT-2;294
BERJ-2012;LEBEND_TOT-1;78952
BERJ-2012;LEBEND_TOT-2;260
BERJ-2013;LEBEND_TOT-1;79330
BERJ-2013;LEBEND_TOT-2;272
BERJ-2014;LEBEND_TOT-1;81722
BERJ-2014;LEBEND_TOT-2;273
BERJ-2015;LEBEND_TOT-1;84381
BERJ-2015;LEBEND_TOT-2;281
BERJ-2016;LEBEND_TOT-1;87675
BERJ-2016;LEBEND_TOT-2;290
BERJ-2017;LEBEND_TOT-1;87633
BERJ-2017;LEBEND_TOT-2;294
BERJ-2018;LEBEND_TOT-1;85535
BERJ-2018;LEBEND_TOT-2;277
BERJ-2019;LEBEND_TOT-1;84952
BERJ-2019;LEBEND_TOT-2;261
BERJ-2020;LEBEND_TOT-1;83603
BERJ-2020;LEBEND_TOT-2;317
BERJ-2021;LEBEND_TOT-1;86078
BERJ-2021;LEBEND_TOT-2;309
